Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918222030221.1;P.S.: SANTA FLORENCIA, 1 MADRID;STOP;0;4
918222090126.1;P.S.: ENRIQUE SIMONIS, 16 MADRID;EJECUTADO;156;5
918223030293.1;P.S.: LUIS OCAÑA, 10 MADRID;EJECUTADO;78;3
918223030293.9;P.S.: LUIS OCAÑA, 10 MADRID;REPROGRAMAR;78;3
918223060230.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;PEND.INST.PART;0;3
918223050360.1;RET.: MARIA BOSCH, 8 MADRID;STOP;0;2
918223050363.1;RET.: PUERTO DE CANENCIA, 15 MADRID;STOP;0;
918223060292.1;RET.: PICO ARTILLEROS, 105 MADRID;REPROGRAMADO;0;3
918222020501.1;RET.: UZP0203 LOS AHIJONES, 6001 MADRID;STOP;0;2
918223070051.1;P.S.: MENDEZ ALVARO, 36 MADRID;REPROGRAMAR;46;2
918223070127.1;P.S.: ABTAO, 25 MADRID;STOP;0;
918223070220.1;RET.: ANDEVALO, 5 MADRID;REPROGRAMAR;0;3
918223070057.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;5;1
918223070094.1;P.S.: LUIS OCAÑA, 10 MADRID;STOP;0;5
918223070172.1;RET.: ENCOMIENDA DE PALACIOS, 165 MADRID;REPROGRAMADO;0;3
918223050366.1;RET.: SAN CLAUDIO, 107 MADRID;REPROGRAMADO;0;1
918223040064.9;P.S.: HULLA, 00 MADRID;REPROGRAMAR;41;7
918222090368.1;RET.: DOCTOR ESQUERDO, 130 MADRID;REPROGRAMAR;0;
918223060207.1;RET.: HACIENDA DE PAVONES, 133 MADRID;EJECUTADO;0;2
918221100283.1;P.S.: HACIENDA DE PAVONES, 348 MADRID;STOP;0;6
918223060238.1;P.S.: GRAN VIA DEL SURESTE, 60 MADRID;STOP;0;9
918223070001.1;RET.: BENALAURIA, 5 MADRID;EJECUTADO;0;1
918223050010.1;P.S.: IGUALDAD, 211 MADRID;PROGRAMADO;4;5
918223050010.9;P.S.: IGUALDAD, 211 MADRID;EJECUTABLE;4;5
918221100279.1;P.S.: SAN CLAUDIO, 154 MADRID;STOP;0;3
918222030215.1;P.S.: ARROYO DE LA MEDIA LEGUA, 58 MADRID;STOP;0;4
918222030216.1;P.S.: CÓRDOBA, 9 MADRID;STOP;0;2
918222030220.1;P.S.: VILLARDONDIEGO, 34 MADRID;STOP;0;2
918222030222.1;P.S.: GODELLA, 116 MADRID;STOP;0;4
918222040175.1;P.S.: POLIDEPORTIVO, 3 MADRID;STOP;0;5
918223070352.1;P.S.: CAMINO DE LOS VINATEROS, 0047 MADRID;PEND.INST.PART;0;
918223080022.1;P.S.: CANARIOS, 90 MADRID;STOP;0;1
918223080060.1;P.S.: BABILAFUENTE, 3 MADRID;STOP;0;7
918223080195.1;P.S.: ALBUFERA, 0060 MADRID;REPROGRAMAR;122;
918223060183.1;P.S.: UZP0103 ENSANCHE VALLECAS, 221 MADRID;REPROGRAMADO;11;4
918223070140.1;P.S.: MANUEL NOGUEIRO, 9 MADRID;EJECUTADO;29;1
918223060309.1;RET.: PUERTO DEL REY, 19 MADRID;EJECUTADO;0;3
918223020461.1;RET.: SAN CLAUDIO, 25 MADRID;STOP;0;4
918223080213.1;P.S.: DOCTOR BELLIDO, 0 MADRID;PEND.INST.PART;0;1
918221110334.1;P.S.: EMBAJADORES, 232 MADRID;PEND.INST.PART;0;5
918221110334.9;P.S.: EMBAJADORES, 232 MADRID;PEND.INST.PART;0;5
918223030166.1;P.S.: MENDEZ ALVARO, 36 MADRID;PEND.INST.PART;0;
918223030166.9;P.S.: MENDEZ ALVARO, 36 MADRID;PEND.INST.PART;0;
918223030202.1;P.S.: SECO, 13 MADRID;PEND.INST.PART;0;
918223030202.9;P.S.: SECO, 13 MADRID;PEND.INST.PART;0;
918123050102.1;P.S.: FELIPE IV, 0 MADRID;REPROGRAMAR;87;
918223060063.1;P.S.: IRÚN, 1 MADRID;STOP;0;
918223080302.1;RET.: SECO, 13 MADRID;REPROGRAMADO;0;
918122040226.1;P.S.: DESAMPARADOS, 15 MADRID;STOP;0;1
918123020488.1;RET.: MORATIN, 8 MADRID;REPROGRAMAR;0;5
918220110074.1;P.S.: FRANCISCO GRANDE COVIAN, 170 MADRID;STOP;0;17
918220110074.9;P.S.: FRANCISCO GRANDE COVIAN, 170 MADRID;STOP;0;17
918222060045.1;P.S.: CALCIO, 1 MADRID;PROGRAMADO;13;3
918223070328.1;RET.: ANDALUCIA, 85 MADRID;REPROGRAMAR;0;6
918221100292.1;P.S.: MENDEZ ALVARO, 55 MADRID;STOP;0;2
918223070118.1;RET.: PRECIADOS, 28 MADRID;REPROGRAMAR;0;2
918223070035.1;P.S.: LEGANES, 20 MADRID;PEND.INST.PART;0;1
918222100464.1;P.S.: CASA DE TILLY, 33 MADRID;PEND.INST.PART;0;14
918223060294.1;RET.: SERENA, 5 MADRID;REPROGRAMAR;0;2
918223070204.1;P.S.: FUENTE CARRANTONA, 40 MADRID;STOP;0;2
918220030018.1;P.S.: CERRO DEL TESORO, 31 MADRID;PROGRAMADO;63;7
918220030018.9;P.S.: CERRO DEL TESORO, 31 MADRID;REPROGRAMAR;63;7
918223080153.1;P.S.: LA PUEBLANUEVA, 7 MADRID;PROGRAMADO;16;2
918223080033.1;P.S.: CANARIOS, 90 MADRID;EJECUTADO;10;
918223090132.1;P.S.: MATACHEL, 11 MADRID;REPROGRAMADO;71;5
918223090283.1;P.S.: ARTE CONCEPTUAL, 39 MADRID;PEND.INST.PART;0;1
918222040071.1;P.S.: MIGUEL DELIBES, 46 MADRID;STOP;0;7
918222040071.9;P.S.: MIGUEL DELIBES, 46 MADRID;PEND.INST.PART;0;7
918222060366.1;P.S.: PRECIADOS, 28 MADRID;PEND.INST.PART;0;4
918222060366.9;P.S.: PRECIADOS, 28 MADRID;PEND.INST.PART;0;4
918222100042.1;P.S.: MENDEZ ALVARO, 47 MADRID;EJECUTABLE;8;2
918222100042.9;P.S.: MENDEZ ALVARO, 47 MADRID;EJECUTABLE;8;2
918223030173.1;P.S.: PALOS DE LA FRONTERA, 33 MADRID;PEND.INST.PART;0;8
918223030173.9;P.S.: PALOS DE LA FRONTERA, 33 MADRID;PEND.INST.PART;0;8
918223080309.1;P.S.: JOSE GUTIERREZ MAROTO, 10 MADRID;EJECUTADO;42;1
918221050367.1;RET.: PRINCESA, 13 MADRID;REPROGRAMAR;0;15
918223090160.1;P.S.: UZP0103 ENSANCHE VALLECAS, 160 MADRID;PROGRAMADO;7;3
918223060036.1;RET.: ALMONACID, 30 MADRID;EJECUTADO;0;1
918223040008.1;P.S.: URBANIZACION LOS AHIJONES, 0 MADRID;EJECUTADO;32;1
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;REPROGRAMAR;39;9
918223100155.1;P.S.: SAN VICENTE, 0030 MADRID;STOP;0;10
918223080115.1;P.S.: SANZ RASO, 25 MADRID;PEND.INST.PART;0;2
918223080296.1;P.S.: SAN MIGUEL, 0 MADRID;PEND.INST.PART;0;
918223080297.1;P.S.: DE LA MADERA, 0 MADRID;PEND.INST.PART;0;
918223080298.1;P.S.: MAYOR, 0 MADRID;PEND.INST.PART;0;
918223080300.1;P.S.: DOCTOR LETAMENDI, 0 MADRID;PEND.INST.PART;0;
918223080301.1;P.S.: CALATRAVA, 0 MADRID;PEND.INST.PART;0;
918223080315.1;P.S.: CARMEN DE BURGOS, 0 MADRID;PEND.INST.PART;0;
918223090171.1;RET.: HERMINIO PUERTAS, 42 MADRID;REPROGRAMAR;0;2
918223100182.1;RET.: MOLINO DE VIENTO, 29 MADRID;EJECUTADO;0;3
918223070311.1;P.S.: ALCALDE ANDRES MADRID DAV, 126 MADRID;PEND.INST.PART;0;5
918223100181.1;RET.: NAVAS DEL REY, 51 MADRID;EJECUTADO;0;7
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;PEND.INST.PART;0;1
918223080027.1;P.S.: PICO DE LOS ARITILLEROS, 95 MADRID;EJECUTADO;36;2
918223090354.1;P.S.: CRISTO DE LA GUIA, 9 MADRID;STOP;0;
918222060364.1;P.S.: PRECIADOS, 28 MADRID;PEND.INST.PART;0;2
918222120032.1;P.F.: EJE CENTRAL, 3 MADRID;NO PROGRAMABLE;0;9
918223090265.1;RET.: SIERRA TORNAVACAS, 17 MADRID;REPROGRAMADO;0;2
918223100282.1;RET.: HACIENDA DE PAVONES, 220 MADRID;REPROGRAMAR;0;
918221040172.1;P.S.: UZP0301 VALDECARROS, 13 MADRID;PEND.INST.PART;0;1
918223020051.1;P.S.: PEÑA AMAYA, 1 MADRID;NO PROGRAMABLE;0;
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;PEND.INST.PART;0;2
918223070346.1;RET.: PICO ARTILLEROS, 210 MADRID;REPROGRAMAR;0;
918223040264.1;P.S.: MENDEZ ALVARO, 55 MADRID;PEND.INST.PART;0;7
418419060207.1;P.S.: PUERTA DEL SOL, 10 MADRID;PROGRAMADO;71;6
918223070233.1;P.S.: CELENQUE, 0001 MADRID;PROGRAMADO;9;
918223070170.1;RET.: ARROYO FONTARRON, 333 MADRID;PROGRAMADO;0;
918223100116.1;RET.: CORDEL DE PAVONES, 40 MADRID;REPROGRAMAR;0;1
918223100172.1;P.S.: ALCALDE PEDRO GUTIERREZ, 25 MADRID;REPROGRAMAR;68;1
918223010115.1;P.S.: CARMEN, 10 MADRID;PEND.INST.PART;0;2
918222030078.1;P.S.: ANTONIO LOPEZ, 193 MADRID;PEND.INST.PART;0;1
